"method","obsNum","PB","dataset"
"cGAN","obsNum=0",0.197112225,"KORA multi-omics"
"cGAN","obsNum=0",0.0520923715,"KORA multi-omics"
"cGAN","obsNum=0",0.227122685,"KORA multi-omics"
"cGAN","obsNum=0",0.13850521,"KORA multi-omics"
"cGAN","obsNum=0",0.341046455,"KORA multi-omics"
"cGAN","obsNum=0",0.2808052,"KORA multi-omics"
"cGAN","obsNum=0",0.0333400705,"KORA multi-omics"
"cGAN","obsNum=0",0.0469715775,"KORA multi-omics"
"cGAN","obsNum=0",0.024330062,"KORA multi-omics"
"cGAN","obsNum=0",0.221784525,"KORA multi-omics"
"cGAN","obsNum=0",0.0434581395,"KORA multi-omics"
"cGAN","obsNum=0",0.102803615,"KORA multi-omics"
"cGAN","obsNum=0",3.23585725,"KORA multi-omics"
"cGAN","obsNum=0",0.029900315,"KORA multi-omics"
"cGAN","obsNum=0",0.091604933,"KORA multi-omics"
"cGAN","obsNum=0",0.154958105,"KORA multi-omics"
"cGAN","obsNum=0",0.30805154,"KORA multi-omics"
"cGAN","obsNum=0",0.064372925,"KORA multi-omics"
"cGAN","obsNum=0",0.236592485,"KORA multi-omics"
"cGAN","obsNum=0",0.345077535,"KORA multi-omics"
"cGAN","obsNum=0",0.106520508,"KORA multi-omics"
"cGAN","obsNum=0",0.070957493,"KORA multi-omics"
"cGAN","obsNum=0",0.359612225,"KORA multi-omics"
"cGAN","obsNum=0",2.13968955,"KORA multi-omics"
"cGAN","obsNum=0",0.265232,"KORA multi-omics"
"cGAN","obsNum=0",0.143278695,"KORA multi-omics"
"cGAN","obsNum=0",1.86685565,"KORA multi-omics"
"cGAN","obsNum=0",0.217053325,"KORA multi-omics"
"cGAN","obsNum=0",0.16067367,"KORA multi-omics"
"cGAN","obsNum=0",0.152177365,"KORA multi-omics"
"cGAN","obsNum=0",0.26173876,"KORA multi-omics"
"cGAN","obsNum=0",0.623083505,"KORA multi-omics"
"cGAN","obsNum=0",0.20032464,"KORA multi-omics"
"cGAN","obsNum=0",0.121668657,"KORA multi-omics"
"cGAN","obsNum=0",0.66804445,"KORA multi-omics"
"cGAN","obsNum=0",0.0855128275,"KORA multi-omics"
"cGAN","obsNum=0",0.0975599255,"KORA multi-omics"
"cGAN","obsNum=0",0.041396169,"KORA multi-omics"
"cGAN","obsNum=0",0.080579755,"KORA multi-omics"
"cGAN","obsNum=0",0.342825385,"KORA multi-omics"
"cGAN","obsNum=0",0.354344735,"KORA multi-omics"
"cGAN","obsNum=0",0.07784886,"KORA multi-omics"
"cGAN","obsNum=0",0.088160015,"KORA multi-omics"
"cGAN","obsNum=0",0.14427402,"KORA multi-omics"
"cGAN","obsNum=0",0.0459019115,"KORA multi-omics"
"cGAN","obsNum=0",0.069469698,"KORA multi-omics"
"cGAN","obsNum=0",0.071769055,"KORA multi-omics"
"cGAN","obsNum=0",0.32543235,"KORA multi-omics"
"cGAN","obsNum=0",1.87900025,"KORA multi-omics"
"cGAN","obsNum=0",0.374232935,"KORA multi-omics"
"cGAN","obsNum=0",0.1198208875,"KORA multi-omics"
"cGAN","obsNum=0",0.586119295,"KORA multi-omics"
"cGAN","obsNum=0",0.180520125,"KORA multi-omics"
"cGAN","obsNum=0",0.081202528,"KORA multi-omics"
"cGAN","obsNum=0",0.1124474,"KORA multi-omics"
"cGAN","obsNum=0",0.1091188,"KORA multi-omics"
"cGAN","obsNum=0",0.0749527625,"KORA multi-omics"
"cGAN","obsNum=0",0.146429975,"KORA multi-omics"
"cGAN","obsNum=0",1.1277572,"KORA multi-omics"
"cGAN","obsNum=0",0.0383245035,"KORA multi-omics"
"cGAN","obsNum=0",0.193044645,"KORA multi-omics"
"cGAN","obsNum=0",1.04695045,"KORA multi-omics"
"cGAN","obsNum=0",1.5337525,"KORA multi-omics"
"cGAN","obsNum=0",0.662743805,"KORA multi-omics"
"cGAN","obsNum=0",0.20957872,"KORA multi-omics"
"cGAN","obsNum=0",0.2896232,"KORA multi-omics"
"cGAN","obsNum=100",0.08648697,"KORA multi-omics"
"cGAN","obsNum=100",0.044460984,"KORA multi-omics"
"cGAN","obsNum=100",0.21170464,"KORA multi-omics"
"cGAN","obsNum=100",0.14805853,"KORA multi-omics"
"cGAN","obsNum=100",0.061120296,"KORA multi-omics"
"cGAN","obsNum=100",0.10274341,"KORA multi-omics"
"cGAN","obsNum=100",0.024217627,"KORA multi-omics"
"cGAN","obsNum=100",0.042208607,"KORA multi-omics"
"cGAN","obsNum=100",0.0226509245,"KORA multi-omics"
"cGAN","obsNum=100",0.18024072,"KORA multi-omics"
"cGAN","obsNum=100",0.02980139,"KORA multi-omics"
"cGAN","obsNum=100",0.0788984,"KORA multi-omics"
"cGAN","obsNum=100",0.64601927,"KORA multi-omics"
"cGAN","obsNum=100",0.0276734295,"KORA multi-omics"
"cGAN","obsNum=100",0.0785894505,"KORA multi-omics"
"cGAN","obsNum=100",0.0693888925,"KORA multi-omics"
"cGAN","obsNum=100",0.113804642,"KORA multi-omics"
"cGAN","obsNum=100",0.0444566665,"KORA multi-omics"
"cGAN","obsNum=100",0.093078228,"KORA multi-omics"
"cGAN","obsNum=100",0.10167912,"KORA multi-omics"
"cGAN","obsNum=100",0.030795946,"KORA multi-omics"
"cGAN","obsNum=100",0.0531197395,"KORA multi-omics"
"cGAN","obsNum=100",0.11867404,"KORA multi-omics"
"cGAN","obsNum=100",0.24787754,"KORA multi-omics"
"cGAN","obsNum=100",0.061455296,"KORA multi-omics"
"cGAN","obsNum=100",0.097231185,"KORA multi-omics"
"cGAN","obsNum=100",0.38112146,"KORA multi-omics"
"cGAN","obsNum=100",0.0650274125,"KORA multi-omics"
"cGAN","obsNum=100",0.061422225,"KORA multi-omics"
"cGAN","obsNum=100",0.12135277,"KORA multi-omics"
"cGAN","obsNum=100",0.082693015,"KORA multi-omics"
"cGAN","obsNum=100",0.316754015,"KORA multi-omics"
"cGAN","obsNum=100",0.04584484,"KORA multi-omics"
"cGAN","obsNum=100",0.038813589,"KORA multi-omics"
"cGAN","obsNum=100",0.0998914825,"KORA multi-omics"
"cGAN","obsNum=100",0.069403475,"KORA multi-omics"
"cGAN","obsNum=100",0.09097027,"KORA multi-omics"
"cGAN","obsNum=100",0.036860868,"KORA multi-omics"
"cGAN","obsNum=100",0.086210023,"KORA multi-omics"
"cGAN","obsNum=100",0.073657615,"KORA multi-omics"
"cGAN","obsNum=100",0.1605401,"KORA multi-omics"
"cGAN","obsNum=100",0.0386844295,"KORA multi-omics"
"cGAN","obsNum=100",0.05868626,"KORA multi-omics"
"cGAN","obsNum=100",0.079230517,"KORA multi-omics"
"cGAN","obsNum=100",0.03408484,"KORA multi-omics"
"cGAN","obsNum=100",0.063832119,"KORA multi-omics"
"cGAN","obsNum=100",0.067879835,"KORA multi-omics"
"cGAN","obsNum=100",0.08618623,"KORA multi-omics"
"cGAN","obsNum=100",0.312514245,"KORA multi-omics"
"cGAN","obsNum=100",0.205749425,"KORA multi-omics"
"cGAN","obsNum=100",0.03260994,"KORA multi-omics"
"cGAN","obsNum=100",0.176773315,"KORA multi-omics"
"cGAN","obsNum=100",0.037883448,"KORA multi-omics"
"cGAN","obsNum=100",0.104687782,"KORA multi-omics"
"cGAN","obsNum=100",0.0569819065,"KORA multi-omics"
"cGAN","obsNum=100",0.073066665,"KORA multi-omics"
"cGAN","obsNum=100",0.06699762,"KORA multi-omics"
"cGAN","obsNum=100",0.0544625445,"KORA multi-omics"
"cGAN","obsNum=100",0.27247618,"KORA multi-omics"
"cGAN","obsNum=100",0.023766119,"KORA multi-omics"
"cGAN","obsNum=100",0.15712357,"KORA multi-omics"
"cGAN","obsNum=100",0.30643117,"KORA multi-omics"
"cGAN","obsNum=100",0.23214099,"KORA multi-omics"
"cGAN","obsNum=100",0.1134104825,"KORA multi-omics"
"cGAN","obsNum=100",0.088480145,"KORA multi-omics"
"cGAN","obsNum=100",0.040699113,"KORA multi-omics"
"cGAN","obsNum=200",0.088923713,"KORA multi-omics"
"cGAN","obsNum=200",0.0492021325,"KORA multi-omics"
"cGAN","obsNum=200",0.22150169,"KORA multi-omics"
"cGAN","obsNum=200",0.13813886,"KORA multi-omics"
"cGAN","obsNum=200",0.0650897975,"KORA multi-omics"
"cGAN","obsNum=200",0.106249385,"KORA multi-omics"
"cGAN","obsNum=200",0.024348557,"KORA multi-omics"
"cGAN","obsNum=200",0.033927547,"KORA multi-omics"
"cGAN","obsNum=200",0.0221758465,"KORA multi-omics"
"cGAN","obsNum=200",0.23930262,"KORA multi-omics"
"cGAN","obsNum=200",0.032566661,"KORA multi-omics"
"cGAN","obsNum=200",0.082324635,"KORA multi-omics"
"cGAN","obsNum=200",0.322375515,"KORA multi-omics"
"cGAN","obsNum=200",0.032277577,"KORA multi-omics"
"cGAN","obsNum=200",0.08940818,"KORA multi-omics"
"cGAN","obsNum=200",0.07509783,"KORA multi-omics"
"cGAN","obsNum=200",0.13430528,"KORA multi-omics"
"cGAN","obsNum=200",0.050418645,"KORA multi-omics"
"cGAN","obsNum=200",0.069585785,"KORA multi-omics"
"cGAN","obsNum=200",0.08254151,"KORA multi-omics"
"cGAN","obsNum=200",0.032856545,"KORA multi-omics"
"cGAN","obsNum=200",0.062736426,"KORA multi-omics"
"cGAN","obsNum=200",0.10498827,"KORA multi-omics"
"cGAN","obsNum=200",0.23446278,"KORA multi-omics"
"cGAN","obsNum=200",0.05508543,"KORA multi-omics"
"cGAN","obsNum=200",0.084970268,"KORA multi-omics"
"cGAN","obsNum=200",0.29100828,"KORA multi-omics"
"cGAN","obsNum=200",0.0559865135,"KORA multi-omics"
"cGAN","obsNum=200",0.0547256415,"KORA multi-omics"
"cGAN","obsNum=200",0.14216678,"KORA multi-omics"
"cGAN","obsNum=200",0.077370527,"KORA multi-omics"
"cGAN","obsNum=200",0.28534436,"KORA multi-omics"
"cGAN","obsNum=200",0.04370295,"KORA multi-omics"
"cGAN","obsNum=200",0.0352968475,"KORA multi-omics"
"cGAN","obsNum=200",0.085100235,"KORA multi-omics"
"cGAN","obsNum=200",0.066319155,"KORA multi-omics"
"cGAN","obsNum=200",0.1145073575,"KORA multi-omics"
"cGAN","obsNum=200",0.0398811615,"KORA multi-omics"
"cGAN","obsNum=200",0.08690536,"KORA multi-omics"
"cGAN","obsNum=200",0.0645209225,"KORA multi-omics"
"cGAN","obsNum=200",0.132692665,"KORA multi-omics"
"cGAN","obsNum=200",0.041025625,"KORA multi-omics"
"cGAN","obsNum=200",0.06450914,"KORA multi-omics"
"cGAN","obsNum=200",0.073578515,"KORA multi-omics"
"cGAN","obsNum=200",0.036867796,"KORA multi-omics"
"cGAN","obsNum=200",0.054934796,"KORA multi-omics"
"cGAN","obsNum=200",0.07942899,"KORA multi-omics"
"cGAN","obsNum=200",0.088735595,"KORA multi-omics"
"cGAN","obsNum=200",0.244211755,"KORA multi-omics"
"cGAN","obsNum=200",0.20089422,"KORA multi-omics"
"cGAN","obsNum=200",0.025676254,"KORA multi-omics"
"cGAN","obsNum=200",0.145856265,"KORA multi-omics"
"cGAN","obsNum=200",0.0301469695,"KORA multi-omics"
"cGAN","obsNum=200",0.081065925,"KORA multi-omics"
"cGAN","obsNum=200",0.0623386325,"KORA multi-omics"
"cGAN","obsNum=200",0.077573235,"KORA multi-omics"
"cGAN","obsNum=200",0.051487127,"KORA multi-omics"
"cGAN","obsNum=200",0.0504003435,"KORA multi-omics"
"cGAN","obsNum=200",0.173848515,"KORA multi-omics"
"cGAN","obsNum=200",0.024736861,"KORA multi-omics"
"cGAN","obsNum=200",0.17133925,"KORA multi-omics"
"cGAN","obsNum=200",0.303312105,"KORA multi-omics"
"cGAN","obsNum=200",0.156680565,"KORA multi-omics"
"cGAN","obsNum=200",0.149705225,"KORA multi-omics"
"cGAN","obsNum=200",0.0659437105,"KORA multi-omics"
"cGAN","obsNum=200",0.0286101055,"KORA multi-omics"
"cGAN","obsNum=50",0.07332758,"KORA multi-omics"
"cGAN","obsNum=50",0.0489379465,"KORA multi-omics"
"cGAN","obsNum=50",0.21087112,"KORA multi-omics"
"cGAN","obsNum=50",0.1335498,"KORA multi-omics"
"cGAN","obsNum=50",0.11588952,"KORA multi-omics"
"cGAN","obsNum=50",0.17771554,"KORA multi-omics"
"cGAN","obsNum=50",0.032996825,"KORA multi-omics"
"cGAN","obsNum=50",0.0373287215,"KORA multi-omics"
"cGAN","obsNum=50",0.023753839,"KORA multi-omics"
"cGAN","obsNum=50",0.207414785,"KORA multi-omics"
"cGAN","obsNum=50",0.0311260515,"KORA multi-omics"
"cGAN","obsNum=50",0.08509557,"KORA multi-omics"
"cGAN","obsNum=50",0.787003485,"KORA multi-omics"
"cGAN","obsNum=50",0.0287330995,"KORA multi-omics"
"cGAN","obsNum=50",0.090936428,"KORA multi-omics"
"cGAN","obsNum=50",0.148230575,"KORA multi-omics"
"cGAN","obsNum=50",0.128590805,"KORA multi-omics"
"cGAN","obsNum=50",0.047768886,"KORA multi-omics"
"cGAN","obsNum=50",0.0744101145,"KORA multi-omics"
"cGAN","obsNum=50",0.13633091,"KORA multi-omics"
"cGAN","obsNum=50",0.0366431675,"KORA multi-omics"
"cGAN","obsNum=50",0.076852457,"KORA multi-omics"
"cGAN","obsNum=50",0.172789235,"KORA multi-omics"
"cGAN","obsNum=50",0.7440091,"KORA multi-omics"
"cGAN","obsNum=50",0.09736463,"KORA multi-omics"
"cGAN","obsNum=50",0.09586192,"KORA multi-omics"
"cGAN","obsNum=50",0.636736245,"KORA multi-omics"
"cGAN","obsNum=50",0.054196955,"KORA multi-omics"
"cGAN","obsNum=50",0.08007806,"KORA multi-omics"
"cGAN","obsNum=50",0.13580963,"KORA multi-omics"
"cGAN","obsNum=50",0.110889195,"KORA multi-omics"
"cGAN","obsNum=50",0.3222394,"KORA multi-omics"
"cGAN","obsNum=50",0.063399842,"KORA multi-omics"
"cGAN","obsNum=50",0.0534330495,"KORA multi-omics"
"cGAN","obsNum=50",0.236942015,"KORA multi-omics"
"cGAN","obsNum=50",0.083957555,"KORA multi-omics"
"cGAN","obsNum=50",0.0956317925,"KORA multi-omics"
"cGAN","obsNum=50",0.033308561,"KORA multi-omics"
"cGAN","obsNum=50",0.0945332325,"KORA multi-omics"
"cGAN","obsNum=50",0.115366775,"KORA multi-omics"
"cGAN","obsNum=50",0.28013618,"KORA multi-omics"
"cGAN","obsNum=50",0.036414504,"KORA multi-omics"
"cGAN","obsNum=50",0.064455495,"KORA multi-omics"
"cGAN","obsNum=50",0.091112165,"KORA multi-omics"
"cGAN","obsNum=50",0.0355501305,"KORA multi-omics"
"cGAN","obsNum=50",0.068521287,"KORA multi-omics"
"cGAN","obsNum=50",0.0670739775,"KORA multi-omics"
"cGAN","obsNum=50",0.151654185,"KORA multi-omics"
"cGAN","obsNum=50",0.721803425,"KORA multi-omics"
"cGAN","obsNum=50",0.213469485,"KORA multi-omics"
"cGAN","obsNum=50",0.046601605,"KORA multi-omics"
"cGAN","obsNum=50",0.177571125,"KORA multi-omics"
"cGAN","obsNum=50",0.053883499,"KORA multi-omics"
"cGAN","obsNum=50",0.11789429,"KORA multi-omics"
"cGAN","obsNum=50",0.058916011,"KORA multi-omics"
"cGAN","obsNum=50",0.0773819055,"KORA multi-omics"
"cGAN","obsNum=50",0.0428892285,"KORA multi-omics"
"cGAN","obsNum=50",0.069698337,"KORA multi-omics"
"cGAN","obsNum=50",0.345718655,"KORA multi-omics"
"cGAN","obsNum=50",0.023288723,"KORA multi-omics"
"cGAN","obsNum=50",0.228365135,"KORA multi-omics"
"cGAN","obsNum=50",0.40595731,"KORA multi-omics"
"cGAN","obsNum=50",0.391987735,"KORA multi-omics"
"cGAN","obsNum=50",0.22431309,"KORA multi-omics"
"cGAN","obsNum=50",0.068991058,"KORA multi-omics"
"cGAN","obsNum=50",0.095567325,"KORA multi-omics"
"missForest","obsNum=0",0.218240235773473,"KORA multi-omics"
"missForest","obsNum=0",0.0449950574360584,"KORA multi-omics"
"missForest","obsNum=0",0.16090669632138,"KORA multi-omics"
"missForest","obsNum=0",0.147513315965691,"KORA multi-omics"
"missForest","obsNum=0",0.337680470243664,"KORA multi-omics"
"missForest","obsNum=0",0.256586586175601,"KORA multi-omics"
"missForest","obsNum=0",0.0236415584679715,"KORA multi-omics"
"missForest","obsNum=0",0.0303633210586846,"KORA multi-omics"
"missForest","obsNum=0",0.0210875919240718,"KORA multi-omics"
"missForest","obsNum=0",0.236620746952499,"KORA multi-omics"
"missForest","obsNum=0",0.0419010591372498,"KORA multi-omics"
"missForest","obsNum=0",0.0801264419973978,"KORA multi-omics"
"missForest","obsNum=0",3.44391678676628,"KORA multi-omics"
"missForest","obsNum=0",0.0235090018867273,"KORA multi-omics"
"missForest","obsNum=0",0.0677722738358258,"KORA multi-omics"
"missForest","obsNum=0",0.159288966079246,"KORA multi-omics"
"missForest","obsNum=0",0.320700930763504,"KORA multi-omics"
"missForest","obsNum=0",0.040725171135877,"KORA multi-omics"
"missForest","obsNum=0",0.253977551873286,"KORA multi-omics"
"missForest","obsNum=0",0.322437160979109,"KORA multi-omics"
"missForest","obsNum=0",0.0984959407607065,"KORA multi-omics"
"missForest","obsNum=0",0.0616550028738595,"KORA multi-omics"
"missForest","obsNum=0",0.368661080914455,"KORA multi-omics"
"missForest","obsNum=0",2.12503214504617,"KORA multi-omics"
"missForest","obsNum=0",0.259770059553502,"KORA multi-omics"
"missForest","obsNum=0",0.116212623063213,"KORA multi-omics"
"missForest","obsNum=0",1.89636039173033,"KORA multi-omics"
"missForest","obsNum=0",0.216789462139028,"KORA multi-omics"
"missForest","obsNum=0",0.167896644967222,"KORA multi-omics"
"missForest","obsNum=0",0.100565840830278,"KORA multi-omics"
"missForest","obsNum=0",0.239132081821552,"KORA multi-omics"
"missForest","obsNum=0",0.643450739900781,"KORA multi-omics"
"missForest","obsNum=0",0.190237166904062,"KORA multi-omics"
"missForest","obsNum=0",0.131516426021274,"KORA multi-omics"
"missForest","obsNum=0",0.695281207806798,"KORA multi-omics"
"missForest","obsNum=0",0.0523558060411627,"KORA multi-omics"
"missForest","obsNum=0",0.0829929891982777,"KORA multi-omics"
"missForest","obsNum=0",0.0379099377915559,"KORA multi-omics"
"missForest","obsNum=0",0.0700861079156342,"KORA multi-omics"
"missForest","obsNum=0",0.315226552390334,"KORA multi-omics"
"missForest","obsNum=0",0.393014480051537,"KORA multi-omics"
"missForest","obsNum=0",0.0722046846656091,"KORA multi-omics"
"missForest","obsNum=0",0.0519675053972903,"KORA multi-omics"
"missForest","obsNum=0",0.11565811802236,"KORA multi-omics"
"missForest","obsNum=0",0.0358789055365482,"KORA multi-omics"
"missForest","obsNum=0",0.0465902738085861,"KORA multi-omics"
"missForest","obsNum=0",0.0620742552259368,"KORA multi-omics"
"missForest","obsNum=0",0.368599782744896,"KORA multi-omics"
"missForest","obsNum=0",2.00169490695562,"KORA multi-omics"
"missForest","obsNum=0",0.372661484370107,"KORA multi-omics"
"missForest","obsNum=0",0.125546462166046,"KORA multi-omics"
"missForest","obsNum=0",0.58125030890776,"KORA multi-omics"
"missForest","obsNum=0",0.188495455194235,"KORA multi-omics"
"missForest","obsNum=0",0.0688073356627607,"KORA multi-omics"
"missForest","obsNum=0",0.102918739787593,"KORA multi-omics"
"missForest","obsNum=0",0.105013719020888,"KORA multi-omics"
"missForest","obsNum=0",0.083956346949818,"KORA multi-omics"
"missForest","obsNum=0",0.152123035665301,"KORA multi-omics"
"missForest","obsNum=0",1.27448762299007,"KORA multi-omics"
"missForest","obsNum=0",0.0319614183466917,"KORA multi-omics"
"missForest","obsNum=0",0.137416806254584,"KORA multi-omics"
"missForest","obsNum=0",1.08521959308452,"KORA multi-omics"
"missForest","obsNum=0",1.6306749067044,"KORA multi-omics"
"missForest","obsNum=0",0.646452120091347,"KORA multi-omics"
"missForest","obsNum=0",0.204690020239376,"KORA multi-omics"
"missForest","obsNum=0",0.294010860850572,"KORA multi-omics"
"missForest","obsNum=100",0.228233831959186,"KORA multi-omics"
"missForest","obsNum=100",0.050220915309421,"KORA multi-omics"
"missForest","obsNum=100",0.179384430685425,"KORA multi-omics"
"missForest","obsNum=100",0.139656160433605,"KORA multi-omics"
"missForest","obsNum=100",0.319995629994026,"KORA multi-omics"
"missForest","obsNum=100",0.300234200957174,"KORA multi-omics"
"missForest","obsNum=100",0.0247899095168389,"KORA multi-omics"
"missForest","obsNum=100",0.031735975727304,"KORA multi-omics"
"missForest","obsNum=100",0.0211469482789686,"KORA multi-omics"
"missForest","obsNum=100",0.217908935219825,"KORA multi-omics"
"missForest","obsNum=100",0.0391404796505264,"KORA multi-omics"
"missForest","obsNum=100",0.0902575611597162,"KORA multi-omics"
"missForest","obsNum=100",3.1031815158679,"KORA multi-omics"
"missForest","obsNum=100",0.0233290025527711,"KORA multi-omics"
"missForest","obsNum=100",0.067827394921608,"KORA multi-omics"
"missForest","obsNum=100",0.157108524980743,"KORA multi-omics"
"missForest","obsNum=100",0.333256653101655,"KORA multi-omics"
"missForest","obsNum=100",0.0296549337797781,"KORA multi-omics"
"missForest","obsNum=100",0.262292495778878,"KORA multi-omics"
"missForest","obsNum=100",0.30940966007589,"KORA multi-omics"
"missForest","obsNum=100",0.0983411790175686,"KORA multi-omics"
"missForest","obsNum=100",0.0655633564982708,"KORA multi-omics"
"missForest","obsNum=100",0.374151369584884,"KORA multi-omics"
"missForest","obsNum=100",2.08315545266337,"KORA multi-omics"
"missForest","obsNum=100",0.265128288368794,"KORA multi-omics"
"missForest","obsNum=100",0.144686224552653,"KORA multi-omics"
"missForest","obsNum=100",1.88322620147339,"KORA multi-omics"
"missForest","obsNum=100",0.23228020334326,"KORA multi-omics"
"missForest","obsNum=100",0.17062193724942,"KORA multi-omics"
"missForest","obsNum=100",0.104131287501866,"KORA multi-omics"
"missForest","obsNum=100",0.245783336664843,"KORA multi-omics"
"missForest","obsNum=100",0.648127720486535,"KORA multi-omics"
"missForest","obsNum=100",0.192127208028372,"KORA multi-omics"
"missForest","obsNum=100",0.128703427157027,"KORA multi-omics"
"missForest","obsNum=100",0.663884144175051,"KORA multi-omics"
"missForest","obsNum=100",0.0544989153861685,"KORA multi-omics"
"missForest","obsNum=100",0.083282976797055,"KORA multi-omics"
"missForest","obsNum=100",0.0349877144623405,"KORA multi-omics"
"missForest","obsNum=100",0.0686224029911686,"KORA multi-omics"
"missForest","obsNum=100",0.315599215014854,"KORA multi-omics"
"missForest","obsNum=100",0.380941963054575,"KORA multi-omics"
"missForest","obsNum=100",0.0773830536337087,"KORA multi-omics"
"missForest","obsNum=100",0.0482693718110534,"KORA multi-omics"
"missForest","obsNum=100",0.112938663871299,"KORA multi-omics"
"missForest","obsNum=100",0.0354472032266329,"KORA multi-omics"
"missForest","obsNum=100",0.059514589247863,"KORA multi-omics"
"missForest","obsNum=100",0.0603399866118101,"KORA multi-omics"
"missForest","obsNum=100",0.323624607007107,"KORA multi-omics"
"missForest","obsNum=100",1.79716503397013,"KORA multi-omics"
"missForest","obsNum=100",0.358410044360967,"KORA multi-omics"
"missForest","obsNum=100",0.125116887075815,"KORA multi-omics"
"missForest","obsNum=100",0.597924671553034,"KORA multi-omics"
"missForest","obsNum=100",0.170225207181075,"KORA multi-omics"
"missForest","obsNum=100",0.0696808047913413,"KORA multi-omics"
"missForest","obsNum=100",0.114303719638069,"KORA multi-omics"
"missForest","obsNum=100",0.106201938588147,"KORA multi-omics"
"missForest","obsNum=100",0.0883425200984787,"KORA multi-omics"
"missForest","obsNum=100",0.147665094546996,"KORA multi-omics"
"missForest","obsNum=100",1.26140721965998,"KORA multi-omics"
"missForest","obsNum=100",0.0351780099409281,"KORA multi-omics"
"missForest","obsNum=100",0.145117007640125,"KORA multi-omics"
"missForest","obsNum=100",0.964147847309022,"KORA multi-omics"
"missForest","obsNum=100",1.47397903390122,"KORA multi-omics"
"missForest","obsNum=100",0.613554683314331,"KORA multi-omics"
"missForest","obsNum=100",0.199327126896953,"KORA multi-omics"
"missForest","obsNum=100",0.291399235872218,"KORA multi-omics"
"missForest","obsNum=200",0.233123864209639,"KORA multi-omics"
"missForest","obsNum=200",0.0513784348411732,"KORA multi-omics"
"missForest","obsNum=200",0.16969197133857,"KORA multi-omics"
"missForest","obsNum=200",0.137914626030586,"KORA multi-omics"
"missForest","obsNum=200",0.306764322894437,"KORA multi-omics"
"missForest","obsNum=200",0.320802033286346,"KORA multi-omics"
"missForest","obsNum=200",0.0248626912256094,"KORA multi-omics"
"missForest","obsNum=200",0.0334813818545852,"KORA multi-omics"
"missForest","obsNum=200",0.0206514092208868,"KORA multi-omics"
"missForest","obsNum=200",0.22053117391262,"KORA multi-omics"
"missForest","obsNum=200",0.0370827581117534,"KORA multi-omics"
"missForest","obsNum=200",0.103017523375959,"KORA multi-omics"
"missForest","obsNum=200",2.95911092025577,"KORA multi-omics"
"missForest","obsNum=200",0.0232031747447178,"KORA multi-omics"
"missForest","obsNum=200",0.0696310402841429,"KORA multi-omics"
"missForest","obsNum=200",0.156366978192866,"KORA multi-omics"
"missForest","obsNum=200",0.335897845900078,"KORA multi-omics"
"missForest","obsNum=200",0.03443827479607,"KORA multi-omics"
"missForest","obsNum=200",0.26899075718097,"KORA multi-omics"
"missForest","obsNum=200",0.292717130481132,"KORA multi-omics"
"missForest","obsNum=200",0.0971729664300266,"KORA multi-omics"
"missForest","obsNum=200",0.0665089082060177,"KORA multi-omics"
"missForest","obsNum=200",0.376483725324644,"KORA multi-omics"
"missForest","obsNum=200",2.04827743197764,"KORA multi-omics"
"missForest","obsNum=200",0.266935128814392,"KORA multi-omics"
"missForest","obsNum=200",0.164529402168513,"KORA multi-omics"
"missForest","obsNum=200",1.89600999529233,"KORA multi-omics"
"missForest","obsNum=200",0.240163744500245,"KORA multi-omics"
"missForest","obsNum=200",0.169283334350018,"KORA multi-omics"
"missForest","obsNum=200",0.109470002007843,"KORA multi-omics"
"missForest","obsNum=200",0.243021771704157,"KORA multi-omics"
"missForest","obsNum=200",0.612461996579978,"KORA multi-omics"
"missForest","obsNum=200",0.19296295140456,"KORA multi-omics"
"missForest","obsNum=200",0.128507154518726,"KORA multi-omics"
"missForest","obsNum=200",0.659693954401742,"KORA multi-omics"
"missForest","obsNum=200",0.064727062791503,"KORA multi-omics"
"missForest","obsNum=200",0.0809559382431435,"KORA multi-omics"
"missForest","obsNum=200",0.0342912807597156,"KORA multi-omics"
"missForest","obsNum=200",0.0706066351094094,"KORA multi-omics"
"missForest","obsNum=200",0.31518826418689,"KORA multi-omics"
"missForest","obsNum=200",0.381318018503325,"KORA multi-omics"
"missForest","obsNum=200",0.0790612876797959,"KORA multi-omics"
"missForest","obsNum=200",0.0457712195209164,"KORA multi-omics"
"missForest","obsNum=200",0.106139430580741,"KORA multi-omics"
"missForest","obsNum=200",0.035148749098392,"KORA multi-omics"
"missForest","obsNum=200",0.0691292935156043,"KORA multi-omics"
"missForest","obsNum=200",0.0619070296816804,"KORA multi-omics"
"missForest","obsNum=200",0.297234282547097,"KORA multi-omics"
"missForest","obsNum=200",1.70272109605817,"KORA multi-omics"
"missForest","obsNum=200",0.355612335739567,"KORA multi-omics"
"missForest","obsNum=200",0.124603751795518,"KORA multi-omics"
"missForest","obsNum=200",0.606771645035732,"KORA multi-omics"
"missForest","obsNum=200",0.162215721564578,"KORA multi-omics"
"missForest","obsNum=200",0.0699713092247683,"KORA multi-omics"
"missForest","obsNum=200",0.119620477539968,"KORA multi-omics"
"missForest","obsNum=200",0.103887346086571,"KORA multi-omics"
"missForest","obsNum=200",0.0875058093898922,"KORA multi-omics"
"missForest","obsNum=200",0.144040466450777,"KORA multi-omics"
"missForest","obsNum=200",1.25594145603076,"KORA multi-omics"
"missForest","obsNum=200",0.0357011809394997,"KORA multi-omics"
